icao24,origin_country,velocity,on_ground
c04829,Canada,231.36,False
a2c145,United States,69.45,False
abc780,United States,77.7,False
abfac6,United States,200.17,False
ac1ad7,United States,109.05,False
a33afa,United States,5.14,True
e49ed0,Brazil,55.8,False
86cef4,Japan,232.39,False
471f6a,Hungary,256.58,False
c04826,Canada,269.73,False
8014c8,India,205.72,False
e48ba3,Brazil,126.03,False
471f6d,Hungary,162.57,False
e0b284,Argentina,188.49,False
495303,Portugal,195.73,False
471f6b,Hungary,83.33,False
ae74b0,United States,65.92,False
accd45,United States,202.59,False
86d5be,Japan,227.14,False
adf413,United States,0.0,True
8014d8,India,210.44,False
a12921,United States,48.83,False
abad6c,United States,120.58,False
a1a14b,United States,53.5,False
e492a6,Brazil,225.35,False
84cb5b,Japan,141.56,False
accd3e,United States,77.54,False
34444b,Spain,220.4,False
8014cf,India,154.24,False
ae141e,United States,112.62,False
8014ce,India,217.52,False
471f7a,Hungary,267.11,False
ac712d,United States,167.24,False
344455,Spain,220.45,False
a64d22,United States,201.82,False
758307,Philippines,12.86,True
4a2022,Romania,239.51,False
a8f789,United States,230.31,False
440cff,Austria,223.65,False
aaee9c,United States,131.26,False
ae6229,United States,22.66,False
a88d93,United States,213.56,False
471f64,Hungary,76.58,False
471f65,Hungary,125.46,False
a5d1f7,United States,198.55,False
471f63,Hungary,178.51,False
acd2be,United States,81.5,False
a99a52,United States,200.54,False
abb2d5,United States,260.72,False
471f4c,Hungary,229.04,False
3c6741,Germany,203.53,False
a6a47d,United States,208.4,False
a7b133,United States,156.84,False
471f4a,Hungary,237.99,False
344446,Spain,221.67,False
ac358e,United States,143.81,False
aadb7d,United States,213.74,False
440ced,Austria,183.67,False
471f77,Hungary,196.28,False
c033de,Canada,115.38,False
a88d6f,United States,309.43,False
0d0b67,Mexico,74.54,False
471f71,Hungary,194.75,False
c08354,Canada,105.87,False
471f72,Hungary,247.92,False
aa2a7f,United States,63.28,False
471f75,Hungary,94.78,False
aae270,United States,125.58,False
471f73,Hungary,5.66,True
a1bfb7,United States,72.88,False
adfece,United States,4.12,True
ace5de,United States,218.36,False
a35605,United States,204.27,False
a76154,United States,196.17,False
a34f0a,United States,198.58,False
e48045,Brazil,238.14,False
a10326,United States,35.22,False
40805d,United Kingdom,266.29,False
ac7bfc,United States,1.03,True
4400b7,Austria,216.82,False
ac82f8,United States,0.0,True
471f5d,Hungary,125.22,False
3c6752,Germany,194.18,False
a8e45c,United States,297.94,False
a16ff5,United States,53.55,False
3c6751,Germany,105.45,False
ad4264,United States,45.6,False
742838,Jordan,208.44,False
408066,United Kingdom,104.19,False
471f41,Hungary,203.73,False
408067,United Kingdom,220.79,False
a03cb6,United States,260.82,False
8014fe,India,99.8,False
a59601,United States,217.63,False
40804d,United Kingdom,253.99,False
40804e,United Kingdom,196.15,False
471f55,Hungary,259.08,False
0d0b89,Mexico,211.0,False
a90474,United States,228.46,False
a7748e,United States,27.61,False
a23613,United States,48.09,False
c07c7b,Canada,0.0,True
408051,United Kingdom,183.39,False
ae6238,United States,54.06,False
a559d1,United States,203.7,False
aa8af8,United States,54.84,False
34440a,Spain,207.01,False
a7b13b,United States,227.36,False
a189f2,United States,216.43,False
a559d2,United States,79.14,False
a069fd,United States,60.26,False
abfb7c,United States,254.18,False
a831e5,United States,249.67,False
a831e4,United States,43.55,False
344417,Spain,218.75,False
c07c92,Canada,77.5,True
40803c,United Kingdom,236.5,False
0d0b91,Mexico,238.75,False
a7610e,United States,74.67,False
a10f8a,United States,59.78,False
3c6701,Germany,224.14,False
a594fa,United States,204.38,False
a5d1b9,United States,137.6,False
a6eab8,United States,268.93,False
3c6708,Germany,177.32,False
485920,Kingdom of the Netherlands,208.04,False
a71ded,United States,225.97,False
a70abe,United States,227.48,False
a7d754,United States,226.18,False
a95dd3,United States,187.12,False
344409,Spain,220.82,False
aa2a54,United States,231.79,False
a34327,United States,74.97,False
a91765,United States,190.92,False
a7d751,United States,257.66,False
ae624b,United States,17.49,False
3c6713,Germany,233.19,False
471f36,Hungary,220.64,False
a1bff9,United States,99.02,False
440cab,Austria,208.29,False
440cac,Austria,230.38,False
a8e428,United States,59.73,False
3c6716,Germany,213.57,False
a34f59,United States,99.48,False
a63a4b,United States,94.21,False
471f37,Hungary,259.08,False
471f38,Hungary,211.33,False
a83dd0,United States,76.89,False
801605,India,82.33,False
a163f2,United States,189.65,False
a5d1c6,United States,283.81,False
a9b4a4,United States,196.98,False
471f32,Hungary,228.48,False
a9fd22,United States,215.1,False
a2f9dd,United States,104.14,False
440cb1,Austria,242.86,False
a0ef93,United States,118.16,False
801612,India,276.2,False
801613,India,145.09,False
801611,India,2.57,True
aaa710,United States,29.12,False
471f02,Hungary,180.9,False
a91739,United States,220.72,False
a8f728,United States,225.2,False
a4b1f9,United States,57.45,False
a1bfe4,United States,51.91,False
a63a5c,United States,0.0,True
471f05,Hungary,187.22,False
46c9a1,Greece,173.75,False
a163c2,United States,235.52,False
a0a6e9,United States,104.53,False
ae6289,United States,70.14,False
398e24,France,252.97,False
a426a5,United States,220.72,False
aaa724,United States,48.44,False
3c670a,Germany,246.39,False
ab5d16,United States,46.57,False
aaa727,United States,300.46,False
a33c0f,United States,73.87,False
a64d8b,United States,41.11,False
a977bb,United States,234.93,False
a10f6d,United States,60.07,False
aa8aac,United States,75.76,False
a90439,United States,48.87,False
a22f50,United States,66.51,False
a296e5,United States,49.16,False
4008ae,United Kingdom,4.89,True
a711c2,United States,31.42,False
a857fd,United States,53.23,False
4008b2,United Kingdom,199.24,False
40808b,United Kingdom,1.03,True
408095,United Kingdom,26.36,False
440ce0,Austria,236.74,False
e49390,Brazil,235.08,False
a4fa80,United States,97.44,False
0d1233,Mexico,245.73,False
a8dd27,United States,211.38,False
a64163,United States,197.99,False
4951cc,Portugal,2.06,True
a64160,United States,0.0,True
a3b90e,United States,254.16,False
a65490,United States,198.56,False
7c4929,Australia,5.92,True
a7d6a4,United States,262.54,False
80174a,India,240.49,False
c07e2c,Canada,222.84,False
a6afd8,United States,54.3,False
3c6589,Germany,3.34,True
a7d6a8,United States,6.69,True
a5f975,United States,218.43,False
a2cced,United States,32.22,False
80174b,India,229.48,False
a2ccef,United States,233.35,False
80174c,India,118.29,False
aa7a1f,United States,102.39,False
a83f2b,United States,172.28,False
e49f32,Brazil,70.0,False
a413cb,United States,180.9,False
a46345,United States,198.2,False
e48c05,Brazil,228.0,False
00c469,South Africa,163.93,False
a70c23,United States,7.72,True
abc7c6,United States,151.38,False
a72640,United States,0.0,True
c02eca,Canada,212.59,False
a76cb4,United States,207.16,False
40822e,United Kingdom,187.42,False
ace7aa,United States,178.1,False
ac2412,United States,137.91,False
a7cfb7,United States,167.02,False
3c6583,Germany,62.66,False
ab9a0c,United States,52.88,False
a666d1,United States,10.29,True
3c6581,Germany,238.14,False
407b54,United Kingdom,220.12,False
407b55,United Kingdom,173.69,False
3c6586,Germany,0.0,True
a533bd,United States,206.71,False
ad9db0,United States,230.97,False
3c6585,Germany,188.01,False
80175a,India,0.26,True
a5cc37,United States,281.28,False
a5cc35,United States,214.3,False
abadc0,United States,236.05,False
3c658c,Germany,127.02,False
a3f3e5,United States,274.0,False
a60665,United States,63.39,False
a3567a,United States,8.75,True
a21053,United States,227.59,False
ac3751,United States,215.32,False
c0850c,Canada,10.8,True
c07e32,Canada,243.73,False
c07e33,Canada,194.46,False
a7b19c,United States,98.79,False
801778,India,222.64,False
aa44ad,United States,220.62,False
a8592c,United States,184.14,False
3c6595,Germany,72.8,False
ac97e4,United States,75.63,False
abc7d3,United States,51.14,False
a46f75,United States,158.6,False
a3f3dc,United States,256.53,False
407b44,United Kingdom,139.48,False
a70c0b,United States,75.93,False
39d314,France,234.81,False
a40cd9,United States,6.94,True
408227,United Kingdom,194.62,False
39d317,France,211.3,False
c035cc,Canada,221.9,False
80172c,India,0.45,True
ae6406,United States,172.66,False
aa57e6,United States,272.18,False
a2dfff,United States,68.0,False
801736,India,170.94,False
e49f12,Brazil,43.95,False
a08057,United States,7.72,True
ae6401,United States,165.36,False
39d311,France,240.14,False
ab9a32,United States,252.53,False
abadd6,United States,147.46,False
a3565e,United States,76.76,False
a7e9de,United States,37.47,False
c0853f,Canada,251.09,False
a413b9,United States,57.53,False
801742,India,0.26,True
a6a3b8,United States,228.27,False
40820f,United Kingdom,203.75,False
a7d6ae,United States,254.37,False
a2e6dd,United States,60.02,False
c01bc8,Canada,234.27,False
a83f56,United States,114.91,False
a59689,United States,51.96,False
a283f4,United States,220.88,False
ac2439,United States,207.85,False
80172d,India,200.33,False
80172e,India,147.65,False
710411,Saudi Arabia,229.6,False
a34f7f,United States,242.42,False
abfd39,United States,212.5,False
a08065,United States,63.5,False
a7e9e4,United States,3.86,True
aa3daf,United States,60.28,False
a21c82,United States,232.02,False
80173c,India,74.09,False
a2d3b3,United States,208.74,False
80173b,India,227.63,False
a7e9e7,United States,0.9,True
801748,India,68.44,False
abade1,United States,53.07,False
a5e65f,United States,41.16,False
801749,India,252.05,False
a1a0a1,United States,243.26,False
801746,India,221.23,False
a7d6b1,United States,50.05,False
ac84cc,United States,80.22,False
e49f22,Brazil,243.64,False
a22f9d,United States,158.54,False
a7130c,United States,176.36,False
a47645,United States,69.76,False
39d30c,France,261.15,False
801751,India,127.42,False
39d30d,France,227.78,False
c07e59,Canada,1.8,True
801752,India,214.4,False
39d30e,France,202.2,False
a46310,United States,249.16,False
a4b354,United States,1.63,False
a76cc0,United States,179.92,False
a2101f,United States,63.31,False
c02ee9,Canada,4.89,True
a9ea7e,United States,42.7,False
a97932,United States,30.12,False
ab64ee,United States,214.2,False
